吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
明填漆戗金云龙纹立柜	高	174	明填漆戗金云龙纹立柜，现藏于故宫博物馆，高174厘米，横124厘米，纵74.5厘米。
古斯佛瀑布	高	70米	古斯佛瀑布位于冰岛首都雷克雅未克以东北125公里外，宽2500米，高70米，为冰岛最大的断层峡谷瀑布，塔河在这里形成上、下两道瀑布，下方河道变窄成激流。
威灵道夫的维纳斯	高	11．5厘米	威灵道夫的维纳斯，约公元前15000——10000年，石灰石，高11．5厘米，宽5厘米，维也纳自然历史博物馆藏。
引路号	高	约6米	日本宇宙开发机构称，引路号卫星呈长方形，长和宽均为3米左右，高约6米，重约4吨。
玉峰霁石	高	8米	入选理由：玉峰霁石被列入安徽物质文化遗产。高8米，重3.2吨。
北汉山新罗真兴王巡狩碑	高	154cm	韩国国宝3号：北汉山新罗真兴王巡狩碑。该碑高154cm，宽69cm，记录的是新罗国真兴王（540-575年）扩展疆土的壮举（当然怎么扩也才扩到汉河附近）。
扶苏墓	高	约8米	扶苏墓呈长方形，长约30米，宽6米，高约8米，墓旁有扶苏祠，为陕西省重点文物保护单位。
八百壮士墓	高	1.2米	墓冢长方形,宽5.5米,长6.2米,高1.2米。墓碑刻“八百壮士墓”。
奥尔梅克巨石头像	高	约305厘米	奥尔梅克巨石头像，玄武岩，约公元前800年－600年，高约305厘米，重约30吨，现收藏于墨西哥国立人类学博物馆。
木雕变形鸟	高	39厘米	木雕变形鸟高39厘米，宽15厘米，厚13.5厘米。
青石牌坊	高	16.9米	青石牌坊位与辽阳广佑寺，这是目前世界上最大的青石牌坊，高16.9米，长34米，由95块青石雕刻后组合而成，重达800余吨。
长虹瀑布	高	200余米	长虹瀑布，高200余米，宽20余米，由源于军顶下的长虹溪呈多级飘然而成，绿树掩映，洋洋洒洒，迷蒙水雾经阳光照射，长现彩虹奇观，恰似一身着七彩罗裳的仙女，绚丽迷人，故名长虹瀑布，与附近壮美的响水滩相呼应，宛若一对长相守得恋人。
铜力士骑兽博山炉	高	23.9cm	铜力士骑兽博山炉，是西汉时期的薰香炉，高23.9cm，宽10．1cm。
弥勒下生经变相	高	2.72米	“弥勒下生经变相”凿于北山佛湾北段中部，编为第176窟。窟高2.72米、宽1.95米、深2.4米。
清中期沧浪亭图挂屏	高	74厘米	清中期沧浪亭图挂屏连木框高74厘米，宽106厘米。
中国南海诸岛工程纪念碑	高	8米	1991年5月11日，人民海军在永兴岛建《中国南海诸岛工程纪念碑》，高8米，宽4米的淡灰色大理石碑正面铭文“南海诸岛沧桑千年，炎黄后代创业今朝。
清拐子式书卷搭脑扶手椅	高	宽62.2厘米	清拐子式书卷搭脑扶手椅木质为楂桢木，又名柘木。高100厘米、宽62.2厘米。
巡诊机器人	高	1.63米	巡诊机器人是由“触摸健康”公司生产的RP7i巡诊机器人是目前进入医疗领域最先进的机器人。引RP7i高1.63米，重约100千克。
舜子耕田砖雕	高	19.5cm	舜子耕田砖雕，北宋，高19.5cm，宽26cm，厚3cm。
明白玉幻方	高	3.5厘米	明白玉幻方长3.6厘米，通高3.5厘米，厚0.75厘米。
闵子骞劝父砖雕	高	19.5cm	闵子骞劝父砖雕，北宋，高19.5cm，宽26cm，厚3cm。
清雍正湘妃竹绣花卉多宝格	高	86厘米	这件清雍正湘妃竹绣花卉多宝格高86厘米，宽910厘米，是一种集各种材料，各种工艺为一体的精致考究家具。
清早期金漆龙纹宝座	高	165厘米	清早期金漆龙纹宝座宝座高165厘米，长109厘米，宽60厘米。
南洼洞遗址	高	高3.6米	南洼洞遗址位于沂水县诸葛镇范家旺村西南山的山顶上。因临近范家旺村南一片洼地，故名南洼洞。洞口向南，高3.6米，宽6米，长14米，系水平溶洞。
黄山四千仞	高	一点二米	《黄山四千仞》高一点二米，长两点七米，装裱在黄色实木架上，粉彩瓷描写黄山奇峰异景，古树森茂，云海浩渺。瓷板左边题有李白游黄山时的名诗：“黄山四千仞，三十二莲峰。
圣母子和圣安妮	高	168.4厘米	圣母子和圣安妮》高约168.4厘米，长129.9厘米，背面由4块白杨木板组合而成，并由2根横梁固定。
清代竹编木胎漆器双凤盘	高	7.2cm	清代竹编木胎漆器双凤盘高7.2cm,口径长43cm,宽25cm.长方形，四角陏圆式口，矮足敞口。
寿缘桥	高	4米	寿缘桥位于仁寿县识经乡大柏村6组，属单孔拱券式石平桥，横跨一条名为“大河沟”的小河，南北走向。桥长15米，宽2.4米，高4米，用条石砌成。
漳港抗敌死难同胞纪念碑	高	约5米	漳港抗敌死难同胞纪念碑为塔式石砌三层，高约5米，碑底座边宽4米。
九成金嵌色石宝塔	高	82cm	九成金嵌色石宝塔，清朝出品，通高82cm，底径36×36cm。
双龙飞瀑	高	15米余	在雉街河上，有一令人神往的佳景——双龙飞瀑，瀑布宽40余米，高15米余，是赫章境内的第一大瀑布。每逢枯水季节，河水分成两股，瀑流从崖顶直泻向崖底，如同两条银色的蛟龙从深潭里腾空而起，双龙飞瀑由此而得名。
波帕瀑布	高	2-4公尺	波帕瀑布英文名称：PopaFalls，由于卡凡古（KavangoRiver）河水在进入博茨瓦纳和奥卡万戈三角洲的途中流经波帕瀑布，流速极快，水流冲刷地层是底层陷落而形成高仅2-4公尺，但宽却长达1.2公里的波帕瀑布。
大佛洞	高	约20米	陕西汉中大佛洞位于南郑小南海西北岸山腰上。“岸半突开一洞，中建佛殿，故名。”洞口显豁，宽约17米，高约20米。
吴氏老屋	高	7米	吴氏老屋，位于湖北省荆门市京山县钱场镇西北2公里处的吴家大湾。始建于清朝光绪17年（公元1891年)，三层建筑，外墙为土坯墙，内墙为杉木结构，装饰华丽、典雅。屋长31.2米，宽15.2米，高7米。
罗让碑	高	4.20米	罗让碑位于河北邯郸市大名县康堤口村南，立于唐昭宗龙纪元年（889年），碑青石质，高4.20米，宽1.43米，厚0.5米。
黑漆嵌螺钿加金片婴戏图箱	高	28.4cm	黑漆嵌螺钿加金片婴戏图箱，长27.5cm，宽27.5cm，高28.4cm。
铜胎掐丝珐琅饕餮纹香炉	高	26厘米	铜胎掐丝珐琅饕餮纹香炉高26厘米，口长16．9厘米，宽13．4厘米。
万龙熔椅	高	1.86米	万龙熔椅高1.86米，长1.64米，总重量达678斤，上刻成千上万条中国龙。
绘彩勾首马	高	48厘米	绘彩勾首马，三彩器，盛唐时期，高48厘米，长39厘米，河南巩义出土，现藏河南博物院。
彭祖寿石	高	16米	彭祖寿石高16米，宽8米，重约400吨，来自徐州铜山东南油山。
五鹿图	高	30厘米	该器高30厘米，口径16厘米，宽26厘米，除口部上端有一直径2厘米左右的残缺，左侧耳部有一指甲大小的残缺外，品相基本完好，尤其难得的是“五鹿图”画面光洁如新，线条清晰，历经了3000多年的漫长岁月，画面如此，实为难能可贵。
胡正蒙铭五蝠云纹端砚	高	3.4厘米	胡正蒙铭五蝠云纹端砚，明代（公元1368—1661年）。纵14.5厘米，横14.2厘米，高3.4厘米。
胜泉峡谷	高	数十米	胜泉峡谷位于四川省乐山市井研县胜泉乡，由于地壳运动，形成了一条高数十米、宽约50米、长约5公里的峡谷地带。
铜凤灯	高	33厘米	1971年在广西壮族自治区北海市合浦县望牛岭发掘的西汉晚期一号汉墓时，出土了铜凤灯一对，高33厘米、长42厘米、宽15厘米，外形仿凤鸟，双足并立，昂头回望，尾羽后曳下垂与足共同支撑全身，显得十分稳重。
竹根雕仙人乘三多槎	高	15厘米	竹根雕仙人乘三多槎高15厘米，长26厘米，宽13厘米。
太仓市现代农业展示馆	高	6.2米	太仓市现代农业展示馆长124.8米，宽48米，高6.2米，馆内配有先进的控温、通风、遮阳系统，冬季可保持在15℃以上温度，以满足馆内各类周年生长的需要。
铜山古城	高	7米	铜山古城，闽海五大水寨之一，位于东山岛东北部铜陵镇，是福建省著名的风景名胜区之一，始建于明洪武二十年（公元1387年），古城城墙依山起伏，条石砌成，长1900米，高7米。
跪坐人像	高	14.6厘米	跪坐人像宽8.2，高14.6厘米，四川省广汉市三星堆二号祭祀坑出土。
圣母子与圣安妮	高	168.4厘米	《圣母子与圣安妮》高约168.4厘米，长129.9厘米，背面由4块白杨木板组合而成，并由2根横梁固定。
戴家山遗址	长	约60米	它是属于新石器时代晚期居住遗址，是典型的台形遗址，长约60米，宽约40米。在市政府公布的镇江市文物保护单位名单中，戴家山遗址排在第一位，可见此处遗迹的重要性。
毕家墩遗址	长	120米	毕家墩遗址位于县城东南40里缺口镇村失槽河东岸。墩东西长120米，南北宽110米，面积132平方米，高4米。
蓝疆号	长	157.5m	蓝疆号大型起重铺管船是一艘非自航无限航区作业的大型工程船，船体总长157.5m,型宽48m,。
千乘桥	长	62.7米	千乘桥，位于棠口村水尾。始建于南宋理宗年间，清嘉庆二十五年（1820）秀才周大权等人再次募建。南北走向，全长62.7米，宽4.9米，桥面距水面高度9.7米。
蔡城塘	长	5.5公里	蔡城塘位于淮南市东南郊，长约5.5公里，宽500米到800米之间，约5万多亩水面。
望水泉	长	20米	泉池长20米，宽9．8米，深2．2米，中架3孔石桥，桥南建彩亭，北连过厅门楼，桥西侧北岸池壁嵌清末庚戊(1910年)“望水泉”石刻。
大将军炮	长	三五尺	大将军炮：大型火炮，身用生铁铸造，长三五尺，重五百斤，有多道加强箍，分大、中、小三种，发射7斤、3斤和1斤的铅弹，用一辆车运载。
俄罗斯岛	长	18公里	长约18公里，宽13公里。俄罗斯岛（俄语：о́стровРу́сский）是日本海彼得大帝湾内的一个岛屿，隔东博斯普鲁斯海峡与海参崴所在的穆拉维约夫-阿穆尔斯基半岛分开。
葛拉马拉岛	长	3.5公里	葛拉马拉岛，为孟加拉湾中部一座小岛，长3.5公里、宽3公里，印度和孟加拉国在20世纪70年代都分别宣称对其拥有主权，但2010年3月某日，这座小岛却因为海平面上升而消失。
都吉台	长	103米	都吉台古遗址就在“斗鸡台”上，南北长103米，东西宽22米，总面积7416平方米，文化层厚8.5米，下层为龙山文化，中层为商周文化遗存，上层有汉代遗物和唐宋遗存，内涵十分丰富。
多瑙岛	长	21.3公里	多瑙岛（Donauinsel）位于奥地利首都维也纳中部多瑙河上，为人工岛，位于48°14′N,16°24′E，长21.3公里，宽0.25公里，面积3.9平方公里，该岛是一个休闲区，岛上有酒吧，餐馆和夜总会。
广西中越全界之图	长	1764厘米	《广西中越全界之图》,长1764厘米，宽32.7厘米，清光绪十九年(1893年)七月绘成，夹萱石印，墨色浅淡均匀，楷书工整，山石树木用中国画手法勾勒。
翠镂雕荷花坠	长	2.8厘米	翠镂雕荷花坠，清，长2.8厘米，宽3.6厘米。
木嵌银箱	长	19厘米	木嵌银箱长19厘米，宽9厘米，高13.5厘米。
妃哈逅岛	长	450米	马尔代夫妃哈逅岛位于马尔代夫南马累环礁的西南部，从马累到快艇上岛需要45分钟。长450米，宽250米Fihalhohi岛拥有马尔代夫最精美的屋礁。
高山县城遗址	长	70米	高山县城遗址位于安徽省来安县新安镇东北26公里处的王集乡高山村内的高山岗上，呈方形。长70米，宽60米。
清中期紫檀平角条桌	长	174厘米	清中期紫檀平角条桌，桌体紫檀木制，平角立方式。高88.5厘米，长174厘米，宽45厘米。
明黄花梨六柱架子床	长	203.5厘米	明黄花梨六柱架子床，长203.5厘米、宽140厘米、高208.7厘米、座高51厘米。
钟亭	长	4.4米	钟亭位于伏波山南麓，还珠洞南口西侧，为单层翘檐攒尖顶4角方亭，高4.7米，宽4.5米，长4.4米，面积19.8平方米。
墙排球	长	12.19米	墙排球是近年在美国比较流行的一种娱乐性健身排球。它是在长12.19米，宽6.10米，顶高6.10米的墙球场地上架起高2.13米的网，采用三打三、二打二或四打四的形式，打法和普通排球一样，但可以利用墙的反弹，只要球不落地就可继续打。
大理洋人街	长	000米	在古城，大理洋人街原名“护国路”，意为民国初云南人民反对袁世凯称帝，起兵护国而得名。护国路东西走向，长1000米，宽7米，青石板铺面，西起滇藏公路，交博爱，复兴等主要街道。
大西洋—印度洋海岭	长	约3	大西洋—印度洋海岭（Atlantlc-IndianRidge）又名“非洲-南极海岭”。在大西洋东南部和印度洋的西南部。系南大西洋海岭的延续，东与西印度洋海岭相接。长约3，000公里，最宽450公里。
灯塔岛	长	400米	灯塔岛长400米、宽270多米，海水澄清透明，沙滩细腻洁白。灯塔岛的中央是一座建于1862年的白色灯塔。
性崆山	长	10米	上完石阶，转弯处便看见长约10米，宽半米，横卧在千米峭壁中的舍身崖，过了舍身崖，顺着直通性崆山巅的腰道直上，就到了卧虎洞。
吴淞路	长	1412米	南北走向，南起北苏州路口上海大厦接吴淞路闸桥，北至虬江路。长1412米，宽9米到28米。
假日岛	长	700米	马尔代夫假日岛位于南阿里环礁，距马累机场97公里，乘水上飞机需30分钟，快艇需2.5小时。Holiday岛仅有700米长，140米宽，是一个僻静的小岛，银白的沙滩与清澈的大海交相辉映，是一个未被破坏的天堂。
行走机	长	60厘米	其结构紧凑，长60厘米，宽30厘米，每隔三天充一次电。行走机较普通前置式轮椅更易操纵，下肢瘫患者能借助行走机自由走动。
克什米尔谷地	长	135公里	克什米尔谷地Kashmir,Valeof南亚克什米尔境内最大的河谷盆地，即杰卢姆河上游谷地。北为喜马拉雅山脉，南为皮尔潘贾尔山脉。长135公里，宽40公里。
方东树《寒崖独往图》手卷	长	5.12米	方东树《寒崖独往图》手卷1958年桐中教师姚沛生捐献，1986年移交桐城县博物馆收藏。纸本，绫裱，长5.12米，宽0.43米。
红山文化玉凤	长	19.5厘米	新石器时代红山文化玉凤长19.5厘米，高12.5厘米，厚1.2厘米。
乌石砾滩	长	500多米	乌石砾滩位于浙江舟山朱家尖樟州湾西岸，长500多米、宽近百米、高约5米，由无数块乌黑发亮的卵石自然倚坡斜垒而成。气势恢宏、蔚为壮观的乌石砾滩，每逢月夜，滩边潮音奏响，更是一绝。
苏寨民居	长	90米	苏家寨在苏寨南北大街的中间路东，有一座长90米、宽24米完整的明朝中晚期的官宅建筑群——苏寨民居，此民居既有宫廷式样，又具中原风格的建筑。
陵水湖	长	约一公里	[br/]陵水湖位于小金门西南沿海、上库村与上歧村之间，当地人说，原本这儿是一大片的低洼地，经常一雨成灾，于是在民国五十二年时，由当地的守军以人力开凿出来的澹水湖，面积广达三百八十六公顷，长约一公里，宽约一点五公里。
鸵鸟蛋	长	长达15公分	鸵鸟是世上最大的禽类动物；鸵鸟蛋，则是世上最大的蛋，鸵鸟蛋一般长达15公分，宽8公分，重量可达1.5公斤。此外，人们在鸵鸟蛋蛋壳上通过彩绘、浮雕等手段制作成相应的艺术品，即所谓的“鸵鸟工艺蛋”，亦有很高的观赏和收藏价值。
都府街	长	200多米	都府街位于广州市越秀区第一人民医院旁边，是一条只有约5米宽、200多米长的小路。
云蝠端砚	长	18.9厘米	云蝠端砚清长18.9厘米宽18厘米厚2.3厘米此砚石质细腻温润，且有蕉白火捺。
产蛋崖	长	20多米	“产蛋崖”长20多米、高6米，表面极不平整，近百枚“石蛋”错落有致地镶嵌在陡崖上，直径约30-60厘米，最重的达300余公斤。“产蛋崖”成因至今尚无定论，有专家推测其形成于五亿年前，由碳酸钙分子在特定化学作用下渐渐凝聚在一起结核而成。
孝义巷	长	约400米	孝义巷是条小巷，长约400米，最宽处不过三四米，最狭窄处仅容两人侧身而过。
毛泽东青年艺术雕塑	长	83米	毛泽东青年艺术雕塑高32米、长83米、宽41米，基座3500平方米，由8000多块采自福建高山的永定红花岗岩石拼接而成，。
峡村峡谷自然风景区	长	3500米	峡村峡谷自然风景区北为太山，海拔1732米；南为明山，海拔1615米。峡谷相对高差约300余米，长约3500米，宽约200米。
丁云鹏白描十八罗汉图卷	长	700厘米	丁云鹏白描十八罗汉图卷明代。纸本，长700厘米，宽28厘米，以淡墨素描法绘制形态各异的十八罗汉，人物之间以云气相衬托，形象逼真，栩栩如生。
马托奇金沙尔海峡	长	约1	长约1，000公里，宽40-110公里，面积8.26万平方公里。以马托奇金沙尔海峡分成南、北两岛（面积分别为3.33万和4.89万平方公里）。
朱雀山滑雪场	长	200米	朱雀山滑雪场长200米、宽50米的滑雪道为广大滑雪爱好者提供了优良的滑雪场地，并且坡度适宜，尤为适合初学者滑雪娱乐。
翡翠峡	长	28公里	翡翠峡长28公里，宽2～30米，两岸峭壁高100至250米。
祥和玉鼎	长	102厘米	祥和玉鼎长102厘米，宽70厘米，高104厘米，净重938斤，是目前中国国内乃至世界已知的最大的一尊方玉鼎。
广安里海滨浴场	长	1.4公里	广安里海滨浴场以其长1.4公里、宽64米的沙滩及优质沙子而闻名。
成吉思汗丧葬图	长	50厘米	成吉思汗丧葬图，这幅壁画绘于阿尔寨石窟第28号窟主龛右侧的上方，长50厘米，宽35厘米，画面右角绘白色蒙古包二座，尖顶高耸。
胡安·德富卡海峡	长	160公里	胡安·德富卡海峡（JuandeFucaStrait）加拿大不列颠哥伦比亚省温哥华岛和美国华盛顿州之间的海洋通道。长160公里，宽24-32公里。
抚顺矿区	长	18千米	抚顺矿区位于辽宁省抚顺市浑河南岸，长18千米，宽2千米，面积为36平方千米。
日本“岛风”号导弹驱逐舰	长	150米	日本“岛风”号导弹驱逐舰(ShimakazeMissileDestroyer)为旗风级的2号舰，于1988年3月服役。长150米，宽16.4米，吃水4.8米，满载排水量5500吨。
史前冠形器	厚	0.3厘米	史前冠形器高5.8厘米，上宽7.7厘米，厚0.3厘米。
再借亭	厚	0.16米	再借亭位于蚶江镇石湖村西北的古码头石狮蚶江石湖港“林銮渡”边，有“再借亭”一座，碑高12.71米，宽0.93米，厚0.16米，为四柱平顶拱形石亭。
明黄花梨炕柜	厚	36厘米	这对明黄花梨炕柜宽75厘米，厚36厘米，高106厘米。
曹娥投江砖雕	厚	3cm	曹娥投江砖雕，北宋，高19cm，宽26cm，厚3cm。
明万历碑	厚	26厘米	明万历碑，此碑为刑、工二部尚书潘恩所撰，主要记载青浦建城始末，对研究青浦古代历史，有很高的参考价值。碑原有篆额，为王圻所书，但早已失落。碑高220厘米，宽109厘米，厚26厘米，青石质，行书。
土字碑	厚	0.22米	土字碑，位于吉林省珲春防川中俄边界，1886年中俄重勘珲春东部边界时重立。“土”字牌高1.44米，宽0.5米，厚0.22米，为花岗岩质。
扁钢	厚	4-60mm	扁钢，是指宽12-300mm、厚4-60mm、截面为长方形并稍带钝边的钢材。扁钢可以是成品钢材，也可以做焊管的坯料和叠轧薄板用的薄板坯。主要用途：扁钢作为成材可用于制箍铁、工具及机械零件，建筑上用作房架结构件、扶梯。
孔雀瑞兽葡萄镜	厚	1.5厘米	孔雀瑞兽葡萄镜，《镇原县志》称为“海马燕子葡萄镜”。它的直径为19.7厘米，厚1.5厘米，重1900克。
睒子鹿乳奉亲砖雕	厚	4.5cm	睒子鹿乳奉亲砖雕，北宋，高31.5cm，宽30cm，厚4.5cm。
清青玉蝴蝶	厚	0.7厘米	清青玉蝴蝶长9.2厘米，高5.2厘米，厚0.7厘米。
红漆描金云龙纹排箫	厚	3.3cm	红漆描金云龙纹排箫，清康熙，通高33.7cm，宽35.8cm，厚3.3cm。
兽面纹扁足鼎	重	4850克	兽面纹扁足鼎是一件商朝青铜礼器。它通高31.1厘米，口径24.2厘米，重4850克。
三角钢琴	重	最重的可达79吨	音乐会所用的大三角钢琴是乐器中的庞然大物，有9英尺长，最重的可达79吨。
中国渔政45001号	重	570吨	“中国渔政45001号”造于2001年，重570吨，长55米，是目前广西最大的渔政船。
春秋吴王夫差鉴	重	45公斤	春秋吴王夫差鉴为春秋晚期的青铜器。高45厘米，口径73厘米、重45公斤。
唐金银丝结条笼子	重	355克	唐金银丝结条笼子：通高15厘米，长14.5厘米，宽10.5厘米，重355克。
斯基罗斯壁蜥	重	6-7克	斯基罗斯壁蜥，是希腊斯基罗斯岛的特有物种，全长14厘米左右，重量6-7克。栖息在地中海环境下的灌木丛中，以昆虫为食，特别是节肢动物。斯基罗斯壁蜥是活跃的爬行动物，可以依靠快速爬行，摆脱天敌，也会主动脱落尾巴来迷惑敌人，借机逃生。
石羊孔庙	重	3吨	石羊孔庙位于大姚县城西面36公里的石羊镇，又称大姚孔子铜像，始建于明代，如今保留有大成殿、崇圣殿等古建筑群。其中，最引人注目的是大成殿内的孔子铜像，高2.3米，重约3吨，为各地文庙所罕见，这是当今现存的最大的孔子铜像。
白杨-M洲际弹道导弹	重	47吨	白杨-M洲际弹道导弹重47吨，长近23米，安装有固体燃料发动机，能以疯狂的速度拔地而起，可以摧毁1万公里以外的目标。
千斤拨	粗	1.2-2.5mm	千斤拨，多年生草本。茎直立或上升，有时具匍匐根茎，连花序高8-30cm，粗1.2-2.5mm，圆棱形，被白色具节长柔毛，基部多少木质化。
体验价值	即	产品价值	顾客感知价值由三个核心驱动要素构成，即产品价值、服务价值和体验价值。
吉穆	父	吉平	其父吉平为东汉太医。吉穆与耿纪，韦晃，金祎及其兄吉邈密谋杀曹操，后事泄被灭族。
卫璪	父	卫恒	卫璪（？―311年），字仲宝，卫瓘之孙，卫恒之子，西晋著名书法家。承袭祖父卫瓘的爵位兰陵公。后来东海王司马越把兰陵用于扩充自己的封国，改封卫璪为江夏郡公，食邑八千五百户。
乞伏元基	父	乞伏炽磐	乞伏元基，十六国时期西秦君主文昭王乞伏炽磐的长子。母不详。他曾被父亲派到后秦做人质。414年，乞伏炽磐灭南凉，复称秦王，元基从后秦的首都长安逃回，炽磐封其为尚书左仆射，后改封辅国将军、进封右丞相。
吴鸿锡	父	德佑	吴鸿锡，字允康，福建晋江人。父德佑，康熙初，客浙江，兵部郎中噶尼布奉命督造战舰，延德佑入幕。
冀鲁豫	冀	河北	冀鲁豫即河北省、山东省、河南省的简称。
俚岛避风港	楼	46栋	俚岛避风港位于山东威海，被称为中国江北第一线的荣成。项目总建筑面积18万平方米，46栋楼，2000户，一期16栋共计900多户。
制香附	性	性平	制香附，一种中药，味辛、微苦、甘，性平。
归云洞	深	12米	洞高16米，深12米。因春夏，常有云雾缭绕洞口，故名“归云洞”。诗云：“宋室江山云渺渺，归云洞外水悠悠。
托克帕拉铜矿	深	2300英尺	托克帕拉铜矿位于秘鲁南部安第斯山脉，宽1.5英里（约合2.4公里），深2300英尺（约合700米）。
玉印岩	深	11米	玉印岩洞深11米，宽15米，高10米。
紫檀西番莲炕桌	深	49.7cm	紫檀西番莲炕桌，规格：高32cm；宽84.5cm；深49.7cm。
河池六甲小山峡	深	约400米	六甲小山峡（姆洛甲女神峡）河池六甲小山峡地处金城江上游，精华地段由天门峡、凉风峡、龙门峡等组成，为典型的岩溶地型峡谷地貌，目前已开发的旅程往返12公里。景区的峡谷犹如被地壳运动撕开石峰后留下的一条大裂缝，宽100米左右，深约400米。
蛮子洞	深	约6米	蛮子洞乃是四川省遂宁市联盟乡一个叫“安国寺”的村子后山顶上的一个天然洞穴。洞高约2.5米，宽约3米，深约6米，洞低平坦，四面是石壁。
龙洞造像	深	约500米	龙洞造像及石刻位于历城县港沟镇龙洞山(亦称禹登山)。1992年被公布为第二批省级重点文物保护单位。山的西峰悬崖上有一天然喀斯特溶洞,高约2.7米,阔1.3米,深约500米,呈东西走向,传为神龙蛰居处,故名“龙洞”。
黄花梨乌木滚凳	深	28cm	这件黄花梨乌木滚凳，高17.7cm、宽7.7cm、深28cm。
鸭绿江大峡谷	深	170米	鸭绿江大峡谷，长10余公里，宽200多米，深170米。两侧悬崖绝壁如削，中间奇峰异石林立，两边谷壁的巨大石峰、石柱、石笋、石墙，如古堡耸立、石笋破土。两壁火山岩和火山碎屑，经数百年的风雨剥蚀，形成千姿百态的图案，向人间展示鸭绿江大峡谷壮丽奇观。
阿特湖	深	171米	阿特湖是萨尔茨卡默古特内最大的湖，也是奥地利境内最大的山区湖泊，长20公里，宽20至30公里，深171米。阿特湖为垂钓和各种水上运动如帆板、潜水、扬帆和滑水提供了很好的条件。
阿波丸号	深	12.6米	阿波丸号是一艘建造于20世纪40年代的日本远洋油轮，船长154.9米，宽20.2米，深12.6米，总吨位11249.4吨。1945年3月28日，已被日本军队征用的阿波丸号在新加坡装载了从东南亚一带撤退的大批日本人驶向日本。
龙井峡	深	400米	龙井峡，原名龙井河，是皖西最大的瀑布群。峡谷位于安徽省六安市霍山县境内大别山主峰白马尖东北侧，离白马尖主景区仅4公里。大峡谷长15公里，深400米，宽40-300米，峡谷内瀑布成群，怪石遍地，青山相对，雄伟壮观。
高弗·伯杰洞	深	3723英尺	高弗·伯杰洞（GouffreBerger）位于法国东南部格勒诺布尔市（Grenoble）附近，深达3723英尺，即1135米左右，是由一条地下暗泉冲刷岩石中的缝隙并使之慢慢变大而形成的。
妇女树	茎	长42厘米	妇女树它高约4米，茎长42厘米，没有花蕾，它的35朵花都是从“性器官”分娩出来的，就象动物繁殖后代一样。
明紫檀藤心矮圈椅	横	59厘米	明紫檀藤心矮圈椅，清宫旧藏，现藏于故宫博物馆。高58厘米，横59厘米，纵37厘米。
张果老见明皇图	横	107.3cm	《张果老见明皇图》卷，元，任仁发作，绢本，设色，纵41.5cm，横107.3cm。
张溥墓志铭	横	193.8厘米	张溥墓志铭是中国明代书法家黄道周楷书作品。此卷为纸本，楷书，纵28.7厘米，横193.8厘米。
明东西洋航海图	横	96厘米	《明东西洋航海图》，是一张纵158厘米、横96厘米，经牛津博德立安图书馆授权复制的原大绢本彩绘明代古地图，《明东西洋航海图》明确标有罗盘与比例尺，带有明显的西方现代制图理念，这张地图的出现，改写了中国地图史，是首张具有现实指导意义的中国古代航海总图。
明月种树图	横	86．5厘米	《明月种树图》是中国清代画家汤禄名的国画作品。该画为立轴，纸本设色，纵168．5厘米，横86．5厘米，台北故宫博物院藏。
晚景图	横	37.6厘米	《晚景图》轴是中国南宋佚名画家的国画作品。该画绢本墨笔，纵69.5厘米、横37.6厘米，现藏于上海博物馆。
大观园图	横	362cm	《大观园图》，纸本，设色，纵137cm，横362cm，是清无名氏画家根据清代著名作家曹雪芹创作的小说《红楼梦》创作的绘画作品。
平番得胜图	横	972.2厘米	明神宗万历年间/全卷纵43.8厘米、横972.2厘米/平番得胜图卷系由明初朱元璋外甥李文忠的后代保存，称“岐阳王世家文物”，是一卷描绘万历年间平定西北少数民族叛乱的历史画卷。
墨龙图	横	130.5厘米	《墨龙图》是南宋画家陈容的绘画精品,此图为双幅绢本，纵201.5厘米，横130.5厘米，墨笔。
春山秀色图	横	150.5厘米	《春山秀色图》是中国清代画家高俨的国画作品。该画为立轴，绢本设色，纵174.4厘米，横150.5厘米，现藏于广东省博物馆。
春溪归帆图	横	45厘米	《春溪归帆图》是中国清代画家罗牧的国画作品。该画为立轴，绢本水墨，纵186厘米，横45厘米，现流落于日本民间。
春山清霁图	横	102．5厘米	《春山清霁图》是中国元代画家马琬的国画作品。该画为纸本墨笔，纵27厘米，横102．5厘米，台北故宫博物院藏。
安道帖	横	35.5厘米	《安道帖》，蔡襄，尺牍，1055年，纸本，纵26.8厘米，横35.5厘米，台北故宫博物院藏。
圆明园长春园图	横	88cm	《圆明园长春园图 》，清乾隆五十一年（1786年）内府铜版刊本。册页装1函，图版20幅。纵50.7cm，横88cm。
岁寒三友图页	横	23.3厘米	岁寒三友图页，绢本墨笔纵24.3厘米、横23.3厘米赵孟坚系南宋末年的著名画家，著有《梅谱》。
春塘水暖	横	102厘米	《春塘水暖图》作于1961年，纵248.5厘米，横102厘米，是潘天寿大幅作品的代表作之一，也是藏于民间的潘天寿的最大作品。
幽谷清流图	横	22．1厘米	《幽谷清流图》是中国清代画家樊圻的国画作品。该画绢本设色，纵13．1厘米，横22．1厘米，上海博物馆藏。
幽谷茅庵图	横	22．1厘米	《幽谷茅庵图》是中国清代画家樊圻的国画作品。该画绢本设色，纵13．1厘米，横22．1厘米，上海博物馆藏。
清黄花梨月洞门架子床	横	247.5厘米	清黄花梨月洞门架子床，清宫旧藏高227厘米m，横247.5厘米，纵187.5厘米。
