宅的表现是不出门。	宅
热会让你想要大口大口吃冰。	热
热会让你想要天气冷。	热
冷会让你想要天气热。	冷
钱会让你想要存起来。	钱
热会让你想要开冷气。	热
冷会让你想要开暖炉。	冷
热会让你想要开电扇。	热
热会让你想要开电风扇。	热
钱会让你想要投资。	钱
痒会让你想要抠。	痒
痒会让你想要抠耳朵。	痒
热会让你想要搧扇子。	热
热会让你想要搧风。	热
累会让你想要放假。	累
累会让你想要放松。	累
累会让你想要散步。	累
丑会让你想要整型。	丑
累会让你想要旅行。	累
冷会让你想要暖暖包。	冷
热会让你想要沖冷水。	热
热会让你想要沖冷水澡。	热
热会让你想要洗冷水澡。	热
饿会让你想要煮饭。	饿
热会让你想要玩水。	热
冷会让你想要用暖暖包。	冷
胖会让你想要瘦身。	胖
冷会让你想要盖被子。	冷
穷会让你想要省钱。	穷
飞会让你想要翅膀。	飞
热会让你想要脱。	热
胖会让你想要节食。	胖
钱会让你想要花掉。	钱
饿会让你想要觅食。	饿
胖会让你想要让自己变瘦。	胖
穷会让你想要赚钱。	穷
热会让你想要跑冷水澡。	热
冷会让你想要躲在棉被里。	冷
冷会让你想要躲在被窝。	冷
冷会让你想要躲在被窝里。	冷
冷会让你想要进室内。	冷
热会让你想要降温。	热
饿会让你想要饼干。	饿
与爱人分离会让你想要哭。	哭
亲人过世会让你想要哭。	哭
亲人逝去会让你想要哭。	哭
伤心时会让你想要哭。	哭
做作会让你想要吐。	吐
儿童乐园会让你想要玩。	玩
出车祸会让你想要哭。	哭
分手会让你想要哭。	哭
分手信会让你想要哭。	哭
分手时会让你想要哭。	哭
切洋葱会让你想要哭。	哭
压力会让你想要哭。	哭
压力大会让你想要哭。	哭
发现碗里有虫会让你想要吐。	吐
口渴会让你想要喝。	喝
吃蟑螂会让你想要吐。	吐
听相声会让你想要笑。	笑
告白失败会让你想要哭。	哭
和暗恋对象坐会让你想要笑。	笑
喜剧会让你想要笑。	笑
太感动会让你想要哭。	哭
太操劳会让你想要睡。	睡
太累会让你想要睡。	睡
太肥会让你想要瘦。	瘦
失业会让你想要哭。	哭
失去亲人会让你想要哭。	哭
失去会让你想要哭。	哭
失去恋情发展会让你想要哭。	哭
失恋时会让你想要哭。	哭
失火会让你想要逃。	逃
头发剪坏了会让你想要哭。	哭
妈妈死了会让你想要哭。	哭
委屈会让你想要哭。	哭
娶老婆会让你想要笑。	笑
宠物死掉会让你想要哭。	哭
害喜会让你想要吐。	吐
家破人亡会让你想要哭。	哭
寿司会让你想要吃。	吃
开心的事情会让你想要笑。	笑
很累会让你想要睡。	睡
得意会让你想要笑。	笑
快乐时会让你想要笑。	笑
怀孕了会让你想要吐。	吐
怀孕会让你想要吐。	吐
恶心会让你想要吐。	吐
悲伤的时候会让你想要哭。	哭
悲剧会让你想要哭。	哭
想家会让你想要哭。	哭
愉悦会让你想要笑。	笑
感人的剧情会让你想要哭。	哭
感伤会让你想要哭。	哭
感动会让你想要哭。	哭
感动的时候会让你想要哭。	哭
成绩不好会让你想要哭。	哭
打比赛输了会让你想要哭。	哭
拿羽毛搔脚会让你想要笑。	笑
拿零分会让你想要哭。	哭
搔痒会让你想要笑。	笑
摔车会让你想要哭。	哭
撞到头会让你想要哭。	哭
撞到头很痛会让你想要哭。	哭
撞到鼻子会让你想要哭。	哭
晕车会让你想要吐。	吐
没工作会让你想要哭。	哭
没有钱会让你想要哭。	哭
没钱会让你想要哭。	哭
沮丧会让你想要哭。	哭
洋葱会让你想要哭。	哭
烤肉会让你想要吃。	吃
爆浆的小强会让你想要吐。	吐
爸爸死了会让你想要哭。	哭
玩game会让你想要赢。	赢
生离死别会让你想要哭。	哭
疲劳会让你想要睡。	睡
痛苦的时候会让你想要哭。	哭
看喜剧会让你想要笑。	笑
看悲剧的时候会让你想要哭。	哭
看悲剧的电影会让你想要哭。	哭
看海角七号会让你想要哭。	哭
离别会让你想要哭。	哭
离开会让你想要哭。	哭
累的时候会让你想要睡。	睡
结束感情会让你想要哭。	哭
绝望会让你想要哭。	哭
美食会让你想要吃。	吃
考不及格会让你想要哭。	哭
考不好会让你想要哭。	哭
考最后一名会让你想要哭。	哭
考试不及格会让你想要哭。	哭
考试满分会让你想要笑。	笑
考试考不好会让你想要哭。	哭
考试考差会让你想要哭。	哭
考零分会让你想要哭。	哭
肥女的油头发会让你想要吐。	吐
脚趾头撞桌脚会让你想要哭。	哭
腰被搔痒会让你想要笑。	笑
舌燥会让你想要喝。	喝
落榜会让你想要哭。	哭
落选会让你想要哭。	哭
被冤枉会让你想要哭。	哭
被喷胡椒喷雾会让你想要哭。	哭
被打的时候会让你想要哭。	哭
被抛弃会让你想要哭。	哭
被甩会让你想要哭。	哭
被诬陷会让你想要哭。	哭
被误会会让你想要哭。	哭
被责骂会让你想要哭。	哭
赌博会让你想要赢。	赢
踢足球会让你想要赢。	赢
输钱会让你想要赢。	赢
通过考试会让你想要笑。	笑
难过时会让你想要哭。	哭
难过的时候会让你想要哭。	哭
饮料会让你想要喝。	喝
鲜奶茶会让你想要喝。	喝
冷之后可能会发生的事情是感冒。	冷
饿之后可能会发生的事情是找食物。	饿
冷之后可能会发生的事情是穿厚衣服。	冷
冷之后可能会发生的事情是穿毛衣。	冷
累之后可能会发生的事情是躺着不动。	累
累会让你不想动。	累
冷会让你加衣服。	冷
书会让你博学多闻。	书
穷会让你喜欢有钱。	穷
酒会让你喝醉。	酒
累会让你四肢无力。	累
书会让你增加知识。	书
冷会让你想穿外套。	冷
累会让你打瞌睡。	累
饿会让你找餐厅吃饭。	饿
累会让你无精打彩。	累
累会让你昏昏沉沉。	累
书会让你有智慧。	书
热会让你流汗。	热
药会让你病好。	药
打会让你痛。	打
哭会让你眼泪一直掉。	哭
哭会让你眼睛红。	哭
累会让你睡。	累
死会让你解脱。	死
钱会让你贪婪。	钱
冷会让你起鸡皮疙瘩。	冷
酒会让你醉。	酒
药可能会带来副作用。	药
睡可能会带来好肤质。	睡
酒可能会带来宿醉。	酒
光可能会带来影子。	光
书可能会带来智慧。	书
哭可能会带来泪水。	哭
狗可能会带来狂犬病。	狗
哭可能会带来眼泪。	哭
书可能会带来知识。	书
云可能会带来降雨。	云
花可能会带来香气。	花
一直睡觉可能会带来累。	累
七夕分手之后可能会发生的事情是哭。	哭
中奖可能会带来钱。	钱
乌云可能会带来雨。	雨
乐透可能会带来钱。	钱
乐透彩可能会带来钱。	钱
买上市股票可能会带来钱。	钱
买乐透彩可能会带来钱。	钱
买刮刮卡可能会带来钱。	钱
买基金可能会带来钱。	钱
买彩券可能会带来钱。	钱
买股票可能会带来钱。	钱
乱花钱之后可能会发生的事情是穷。	穷
亲人过世会让你哭。	哭
亲友过世会让你哭。	哭
伤心歌曲会让你哭。	哭
做善事可能会带来福。	福
入不敷出之后可能会发生的事情是穷。	穷
写作业会让你累。	累
分手会让你哭。	哭
分离会让你哭。	哭
切洋葱会让你哭。	哭
刮刮乐可能会带来钱。	钱
刮刮卡可能会带来钱。	钱
加班会让你累。	累
卖东西可能会带来钱。	钱
卖鸡排可能会带来钱。	钱
吃完大便之后可能会发生的事情是吐。	吐
吃屎可能会引起吐。	吐
喉咙痛之后可能会发生的事情是咳。	咳
喜剧会让你笑。	笑
喜欢的人会让你笑。	笑
因为胖所以BMI值偏高。	胖
因为热所以一直流汗。	热
因为穷所以三餐不继。	穷
因为懒所以不整理房间。	懒
因为热所以中暑。	热
因为渴所以买矿泉水。	渴
因为冷所以冬眠。	冷
因为胖所以减肥。	胖
因为饿所以出门买午餐。	饿
因为累所以去休息。	累
因为饿所以去夜市。	饿
因为热所以吃冰消暑。	热
因为饿所以吃面包。	饿
因为饿所以吃饼干。	饿
因为热所以吹冷气。	热
因为冷所以吹暖气。	冷
因为热所以吹电扇。	热
因为渴所以喝汽水。	渴
因为冷所以喝热饮。	冷
因为渴所以喝绿茶花。	渴
因为冷所以围围巾。	冷
因为累所以小憩片刻。	累
因为累所以小睡一会儿。	累
因为热所以开冷气。	热
因为冷所以开暖气。	冷
因为热所以开电扇。	热
因为热所以开电风扇。	热
因为累所以想休息。	累
因为累所以想停止工作。	累
因为胖所以想减肥。	胖
因为饿所以想吃。	饿
因为饿所以想吃东西。	饿
因为热所以想吃冰。	热
因为饿所以想吃饭。	饿
因为热所以想吹冷气。	热
因为恨所以想要报复。	恨
因为累所以想趴下来。	累
因为累所以想闭眼。	累
因为冷所以戴手套。	冷
因为冷所以戴毛帽。	冷
因为冷所以戴耳罩。	冷
因为累所以打盹。	累
因为脏所以扫地。	脏
因为渴所以找水。	渴
因为饿所以找餐厅。	饿
因为脏所以擦干净。	脏
因为恨所以无法原谅。	恨
因为恨所以无法谅解。	恨
因为饿所以泡泡面。	饿
因为热所以洗冷水澡。	热
因为脏所以清扫。	脏
因为脏所以清洁。	脏
因为脏所以清理。	脏
因为饿所以煮菜。	饿
因为饿所以煮饭。	饿
因为冷所以盖棉被。	冷
因为冷所以盖被子。	冷
因为哭所以眼睛肿。	哭
因为累所以睡一下。	累
因为冷所以穿外套。	冷
因为哭所以红了双眼。	哭
因为饿所以肚子叫。	饿
因为饿所以肚子在叫。	饿
因为热所以脱外套。	热
因为热所以脱衣服。	热
因为哭所以要人安慰。	哭
因为累所以要休息。	累
因为胖所以要减肥。	胖
因为饿所以要吃饭。	饿
因为冷所以要喝热水。	冷
因为饿所以觅食。	饿
因为饿所以订餐。	饿
因为累所以躺。	累
因为累所以躺在床上。	累
因为累所以躺着。	累
因为三天没吃饭所以饿。	饿
因为吃很多所以饱。	饱
因为吃超多所以饱。	饱
因为喜悦所以笑。	笑
因为太久没吃所以饿。	饿
因为太害怕了所以哭。	哭
因为太阳大所以热。	热
因为失去亲人所以哭。	哭
因为宠物过世所以哭。	哭
因为寒流所以冷。	冷
因为寒流来所以冷。	冷
因为工作一天所以累。	累
因为工作操劳所以累。	累
因为开了太久的会所以累。	累
因为很伤心所以哭。	哭
因为很感伤所以哭。	哭
因为很难过所以哭。	哭
因为快考试了所以烦。	烦
因为悲伤所以哭。	哭
因为情伤所以哭。	哭
因为想家所以哭。	哭
因为想念所以哭。	哭
因为愉快所以笑。	笑
因为撞到所以痛。	痛
因为操劳过度所以累。	累
因为早餐没吃所以饿。	饿
因为昨天晚上没睡所以累。	累
因为有寒流所以冷。	冷
因为没冷气所以热。	热
因为没吃东西所以饿。	饿
因为没吃所以饿。	饿
因为没吃早餐所以饿。	饿
因为没吃饭所以饿。	饿
因为没开冷气所以热。	热
因为没有休息所以累。	累
因为没有保暖所以冷。	冷
因为没水喝所以渴。	渴
因为没盖被子所以冷。	冷
因为没穿外套所以冷。	冷
因为没穿衣服所以冷。	冷
因为滑倒所以痛。	痛
因为爱吃所以胖。	胖
因为玩了一整天所以累。	累
因为疼痛所以哭。	哭
因为痛彻心扉所以哭。	哭
因为空腹所以饿。	饿
因为穿太多所以热。	热
因为绝望所以哭。	哭
因为考试熬夜所以累。	累
因为被人欺负所以哭。	哭
因为被所追所以跑。	跑
因为贪吃所以胖。	胖
因为走太多路所以累。	累
因为赶报告所以累。	累
因为过年暴饮暴食所以胖。	胖
因为速食吃太多所以胖。	胖
因为饿了所以吃。	吃
太久没喝水会让你渴。	渴
幸福会让你笑。	笑
幽默的人会让你笑。	笑
得痔疮会让你痛。	痛
心痛会让你哭。	哭
惊吓会让你叫。	叫
感动会让你哭。	哭
打你会让你痛。	痛
抽血会让你痛。	痛
拔牙齿会让你痛。	痛
搔痒会让你笑。	笑
搬家会让你累。	累
撞到电线桿会让你痛。	痛
撞墙壁会让你痛。	痛
断食疗法会让你饿。	饿
晚睡早起会让你累。	累
没吃饱会让你饿。	饿
没钱买食物会让你饿。	饿
没食物会让你饿。	饿
爬山会让你喘。	喘
皮肤病会让你痒。	痒
皮肤过敏会让你痒。	痒
练球会让你累。	累
美好的回忆会让你笑。	笑
蚊子叮会让你痒。	痒
被打会让你怒。	怒
被抛弃会让你哭。	哭
被搔痒会让你笑。	笑
跑长跑会让你累。	累
跑马拉松会让你累。	累
邮差可能会带来信。	信
食物中毒之后可能会发生的事情是吐。	吐
